,Study_ID,First_Author,Publication_Year,Title,Study_Design,Population_Type,Study_Setting,Study_Location,DOI,Data_Extracted,Bibliography_Searched,Exclude,Notes,Case_Count,Comments,Patient_Count,Case_Count_series,Age_Low,Age_High,Age_Mean,Age_Median,Gender_Male_Cases,Gender_Male_Rate,Gender_Female_Cases,Gender_Female_Rate,Gender_Unknown_Cases,Gender_Unknown_Rate,Is_Intentional_Cases,Is_Intention_Rate,Is_Prisoner_Cases,Is_Prisoner_Rate,Is_Psych_Inpat_Cases,Is_Psych_Inpat_Rate,Is_Displaced_Person_Cases,Is_Displaced_Person_Rate,Under_Influence_Alcohol_Cases,Under_Influence_Alcohol_Rate,Psych_Hx_Cases,Psych_Hx_Rate,Severe_Disability_Hx_Cases,Severe_Disability_Hx_Rate,Previous_Ingestions_Cases,Previous_Ingestions_Rate,Motivation_Intent_To_Harm_Cases,Motivation_Intent_To_Harm_Rate,Motivation_Protest_Cases,Motivation_Protest_Rate,Motivation_Psychiatric_Cases,Motivation_Psychiatric_Rate,Motivation_Psychosocial_Cases,Motivation_Psychosocial_Rate,Motivation_Unknown_Cases,Motivation_Unknown_Rate,Motivation_Other_Cases,Motivation_Other_Rate,Motivation_Other_Psych_Hx_Cases,Motivation_Other_Psych_Hx_Rate,Motivation_Other_Severe_Disability_Hx_Cases,Motivation_Other_Severe_Disability_Hx_Rate,Object_Button_Battery_Cases,Object_Button_Battery_Rate,Object_Magnet_Cases,Object_Magnet_Rate,Object_Long_Cases,Object_Long_Rate,Object_Diameter_Large_Cases,Object_Diameter_Large_Rate,Object_Sharp_Cases,Object_Sharp_Rate,Object_Multiple_Cases,Object_Multiple_Rate,Object_Long_Sharp_Cases,Object_Long_Sharp_Rate,Object_Short_Cases,Object_Short_Rate,Object_Short_Sharp_Cases,Object_Short_Sharp_Rate,Outcome_Endoscopy_Cases,Outcome_Endoscopy_Rate,Outcome_Surgery_Cases,Outcome_Surgery_Rate,Outcome_Death_Cases,Outcome_Death_Rate,Outcome_Injury_Needing_Intervention_Cases,Outcome_Injury_Needing_Intervention_Rate,Outcome_Perforation_Cases,Outcome_Perforation_Rate,Outcome_Obstruction_Cases,Outcome_Obstruction_Rate,Outcome_Other_Cases,Outcome_Other_Rate,Outcome_Other_Long,Outcome_Conservative_Cases,Outcome_Conservative_Rate,Outcome_Endoscopy_Surgery_Cases,Outcome_Endoscopy_Surgery_Rate,Total_Cases
0,3,"Richardson, M.H.",1886,"A Case Of Gastrotomy. Digital Exploration Of Sophagus, And Removal Of Plate Of Teeth; Recovery: Remarks Upon The Operation, And Observations Upon The ...",Case Series,,Historical,USA,10.1056/NEJM188612161152403,Y,,,,19.0,,,,16.0,50.0,28.0,24.5,10.0,0.5263157894736842,4.0,0.21052631578947367,5.0,0.2631578947368421,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,2.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,6.0,0.3157894736842105,10.0,0.5263157894736842,2.0,0.10526315789473684,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.9473684210526315,19.0,1.0,8.0,0.42105263157894735,1.0,0.05263157894736842,7.0,0.3684210526315789,1.0,0.05263157894736842,1.0,0.05263157894736842,0.0,0.0,19.0,1.0,4.0,0.21052631578947367,11.0,0.5789473684210527,9.0,0.47368421052631576,1.0,0.05263157894736842,3.0,0.15789473684210525,,0.0,0.0,0.0,0.0,19.0
1,39,"Tanigawa, K.",1993,Endoscopic Removal Of Foreign Bodies In The Mentally And Physically Handicapped,Case Report,,,Japan,,Y,,,,1.0,,,,31.0,31.0,31.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0
2,46,"O'Sullivan, S.T.",1996,Deliberate Ingestion Of Foreign Bodies By Institutionalised Psychiatric Hospital Patients And Prison Inmates,Case Series,Mixed Prisoner Psychiatric Inpatient Population,"Department of Plastic & Reconstructive Surgery, Cork Regmnal Hospital","Wilton, Cork, Ireland",10.1007/bf02943095,Y,,,,,,30.0,36.0,15.0,69.0,25.8,UK,25,UK,11,UK,0,UK,36,UK,20,UK,10,UK,0,UK,0,UK,6,UK,UK,UK,14,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,0,UK,0,UK,6.0,UK,6,UK,32,UK,14,UK,UK,UK,30,UK,UK,UK,4,UK,2.0,UK,0.0,0.0,3.0,UK,1.0,UK,2.0,UK,1.0,UK,Haemorrhage,30,UK,1.0,UK,0.0
3,51,"Losanoff, J.E.",1996,Gastrointestinal 'Crosses'. A New Shade From An Old Palette,Case Series,,University Hospital in Bulgaria,Bulgaria,10.1001/archsurg.1996.01430140056015,Y,,,,5.0,,,,19.0,29.0,21.8,20.0,5.0,1.0,0.0,0.0,0.0,0.0,,,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0
4,54,"Losanoff, J.E.",1997,"Oesophageal ""Cross""--A Sinister Foreign Body",Case Report,,University Hospital in Bulgaria,Bulgaria,10.1136/emj.14.1.54,Y,,,,1.0,,,,23.0,23.0,23.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
5,60,"Goldman, R.D.",1998,A Bizarre Bezoar: Case Report And Review Of The Literature,Case Report,,Paediatric Surgery in Israel,Israel,10.1007/s003830050492,Y,,,,1.0,,,,16.0,16.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0
6,61,"Csaky, G.",1998,Laparoscopic Removal Of A Foreign Body From The Jejunum,Case Report,,County Hospitak,Hungary,,Y,,,,1.0,,,,22.0,22.0,22.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0
7,85,"Tupesis, J.P.",2004,A Penny For Your Thoughts: Small Bowel Obstruction Secondary To Coin Ingestion,Case Report,,Emergency Department USA,"Chicago, USA",10.1016/j.jemermed.2004.03.013,Y,,,,1.0,,,,22.0,22.0,22.0,22.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0
8,92,"Alao, A.O.",2006,Foreign Body Ingestions In A Schizophrenic Patient,Case Report,,Teaching Hospital Emergency Department,"New York, USA",10.4314/wajm.v25i3.28286,Y,,,,1.0,,,,30.0,30.0,30.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
9,99,"Hunt, I.",2007,Aortoesophageal Perforation Following Ingestion Of Razorblades With Massive Haemothorax,Case Report,,Cardiothoracic Centre,"London, UK",,Y,,,,1.0,,,,44.0,44.0,44.0,44.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0
